,Phone_name,Rating,Reviews,Phone_price,Discounted_price,Phone_image
39, QMobile Q5606,,,"Rs 2,999","Rs 2,499",https://images.priceoye.pk/qmobile-q5606-pakistan-priceoye-yh145-100x100.webp
40, Me Mobile Cammando,,,"Rs 3,999","Rs 3,199",https://images.priceoye.pk/me-mobile-cammando-pakistan-priceoye-e386z-100x100.webp
41, Gfive G5 power,,,"Rs 2,999","Rs 2,885",https://images.priceoye.pk/gfive-g5-power-pakistan-priceoye-nkgwl-100x100.webp
42, Gfive G7610,,,"Rs 2,999","Rs 2,899",https://images.priceoye.pk/gfive-g7610-pakistan-priceoye-2a6so-100x100.webp
43, Gfive G96,5.0,3.0,"Rs 3,999","Rs 3,599",https://images.priceoye.pk/gfive-g96-pakistan-priceoye-2k8pd-100x100.webp
44, GFive Ultra Slim,4.0,1.0,"Rs 3,999","Rs 3,099",https://images.priceoye.pk/gfive-ultra-slim-pakistan-priceoye-uxfgm-100x100.webp
45, Club Mobile Super Star,,,"Rs 3,399","Rs 3,049",https://images.priceoye.pk/clubmobile-super-star-pakistan-priceoye-k8x50-100x100.webp
46, Club Mobile Power 555,,,"Rs 2,999","Rs 2,799",https://images.priceoye.pk/club-mobile-power-555-pakistan-priceoye-tqvuq-100x100.webp
47, Itel It5032,,,"Rs 3,999","Rs 3,399",https://images.priceoye.pk/itel-it5032-pakistan-priceoye-0axvt-100x100.webp
48, XMobile Platinum 5000,,,"Rs 3,999","Rs 3,249",https://images.priceoye.pk/xmobile-platinum-5000-pakistan-priceoye-hh2va-100x100.webp
49, Spice S7 Power,,,"Rs 2,799","Rs 2,349",https://images.priceoye.pk/spice-s7-power-pakistan-priceoye-25t8o-100x100.webp
50, Villaon V50s,,,"Rs 19,999","Rs 18,649",https://images.priceoye.pk/villaon-v50s-pakistan-priceoye-5niya-100x100.webp
51, Faywa HD 1,,,"Rs 3,300","Rs 2,999",https://images.priceoye.pk/faywa-hd-1-pakistan-priceoye-f1qmv-100x100.webp
52, OPPO Reno 15,5.0,1.0,,"Rs 159,999",https://images.priceoye.pk/oppo-reno15-pakistan-priceoye-12386-100x100.webp
53, Digit D2,,,,"Rs 3,299",https://images.priceoye.pk/digit-d2-pakistan-priceoye-l3yqo-100x100.webp
54, QMobile Qsmart Blaze,4.8,41.0,"Rs 21,999","Rs 17,499",https://images.priceoye.pk/qmobile-qsmart-blaze-pakistan-priceoye-985th-100x100.webp
55, Itel Magic 4,4.8,18.0,"Rs 4,099","Rs 3,349",https://images.priceoye.pk/itel-magic-4-it6360-pakistan-priceoye-26xrc-100x100.webp
56, QMobile QHero,5.0,1.0,"Rs 3,299","Rs 3,249",https://images.priceoye.pk/qmobile-qhero-pakistan-priceoye-0vt62-100x100.webp
57, Qmobile Classic,4.0,1.0,,"Rs 2,849",https://images.priceoye.pk/q-classic-pakistan-priceoye-i6sqe-100x100.webp
58, GFive Lion,5.0,1.0,"Rs 3,350","Rs 3,099",https://images.priceoye.pk/gfive-lion-pakistan-priceoye-j8gps-100x100.webp
59, Villaon V5606,5.0,1.0,,"Rs 2,349",https://images.priceoye.pk/villaon-v5606-pakistan-priceoye-7rj35-100x100.webp
60, Villaon V110,4.5,2.0,,"Rs 2,099",https://images.priceoye.pk/villaon-v110-pakistan-priceoye-ruac5-100x100.webp
61, Itel It2165,4.8,34.0,"Rs 2,399","Rs 2,249",https://images.priceoye.pk/itel-it2165-pakistan-priceoye-86qt9-100x100.webp
62, Xiaomi Redmi 13,4.8,295.0,"Rs 37,999","Rs 36,999",https://images.priceoye.pk/redmi-13-pakistan-priceoye-equgi-100x100.webp
63, E-Tachi B12 Star,5.0,1.0,"Rs 2,999","Rs 2,399",https://images.priceoye.pk/e-tachi-b12-star-pakistan-priceoye-e2mt0-100x100.webp
64, E-Tachi Ipro shine,,,,"Rs 4,349",https://images.priceoye.pk/e-tachi-ipro-shine-pakistan-priceoye-coc1k-100x100.webp
65, Calme 4G Hot,5.0,21.0,,"Rs 6,499",https://images.priceoye.pk/calme-4g-hot-pakistan-priceoye-2z1yz-100x100.webp
66, Samsung Galaxy Z Flip 6,5.0,3.0,"Rs 384,999","Rs 304,999",https://images.priceoye.pk/z-flip-6-pakistan-priceoye-s169r-100x100.webp
67, Itel Neo X30+,4.8,21.0,"Rs 6,899","Rs 4,999",https://images.priceoye.pk/itel-neo-x30-pakistan-priceoye-gphno-100x100.webp
68, Calme Ultra Lite S,5.0,1.0,"Rs 2,799","Rs 2,699",https://images.priceoye.pk/calme-ultra-lite-s-pakistan-priceoye-g596t-100x100.webp
69, E-Tachi B2 Pro,,,"Rs 2,999","Rs 2,699",https://images.priceoye.pk/e-tachi-b2-pro-pakistan-priceoye-vb9ae-100x100.webp
70, E-Tachi Magic E4,,,,"Rs 3,849",https://images.priceoye.pk/e-tachi-magic-e4-pakistan-priceoye-49eyi-100x100.webp
71, Gfive Music 100,,,"Rs 2,999","Rs 2,399",https://images.priceoye.pk/gfive-music-100-pakistan-priceoye-a53kw-100x100.webp
72, E-Tachi B2 Pro,,,"Rs 2,999","Rs 2,699",https://images.priceoye.pk/e-tachi-b2-pro-pakistan-priceoye-vb9ae-100x100.webp
73, E-Tachi Magic E4,,,,"Rs 3,849",https://images.priceoye.pk/e-tachi-magic-e4-pakistan-priceoye-49eyi-100x100.webp
74, Gfive Music 100,,,"Rs 2,999","Rs 2,399",https://images.priceoye.pk/gfive-music-100-pakistan-priceoye-a53kw-100x100.webp
75, Calme 4G turbo,4.8,2.0,,"Rs 5,999",https://images.priceoye.pk/calme-4g-turbo-pakistan-priceoye-gpdlk-100x100.webp
76, Calme 4g Platinum,4.9,7.0,,"Rs 6,499",https://images.priceoye.pk/calme-4g-platinum-pakistan-priceoye-u9tfd-100x100.webp
77, Xiaomi Redmi Note 14 Pro,4.8,92.0,"Rs 79,999","Rs 69,999",https://images.priceoye.pk/xiaomi-redmi-note-14-pro-pakistan-priceoye-b73ki-100x100.webp
78, Xiaomi Redmi 14C,4.8,203.0,"Rs 34,999","Rs 31,999",https://images.priceoye.pk/xiaomi-redmi-14c-pakistan-priceoye-d7soa-100x100.webp
79, E-Tachi E8 Classic,5.0,1.0,"Rs 3,649","Rs 3,549",https://images.priceoye.pk/e-tachi-e8-classic-pakistan-priceoye-4x8d2-100x100.webp
80, Spice Muzik 400 Core,,,"Rs 2,999","Rs 2,349",https://images.priceoye.pk/spice-muzik-400-core-pakistan-priceoye-snb00-100x100.webp
81, XMobile Music King,,,,"Rs 3,099",https://images.priceoye.pk/xmobile-music-king-pakistan-priceoye-5tksc-100x100.webp
82, VGO TEL i102,5.0,1.0,"Rs 2,599","Rs 2,549",https://images.priceoye.pk/vgo-tel-i102-pakistan-priceoye-17uxw-100x100.webp
83, Xmobile D4 Ultra,,,"Rs 4,099","Rs 2,999",https://images.priceoye.pk/xmobile-d4-ultra-pakistan-priceoye-0mefp-100x100.webp
84, Xiaomi Redmi A2 Plus,4.9,547.0,"Rs 20,999","Rs 19,999",https://images.priceoye.pk/xiaomi-redmi-a2-plus-pakistan-priceoye-cxgrk-100x100.webp
85, Villaon V220,,,,"Rs 2,899",https://images.priceoye.pk/villaon-v220-pakistan-priceoye-txigj-100x100.webp
86, Villaon V230,,,"Rs 3,999","Rs 3,099",https://images.priceoye.pk/villaon-v230-pakistan-priceoye-vhahz-100x100.webp
87, Hello Tech G3,,,,"Rs 2,599",https://images.priceoye.pk/hello-tech-g3-pakistan-priceoye-zalfo-100x100.webp
88, GFive Big Falak,5.0,1.0,"Rs 3,149","Rs 2,849",https://images.priceoye.pk/gfive-big-falak-pakistan-priceoye-z856b-100x100.webp
89, Itel Power 450,5.0,1.0,"Rs 3,899","Rs 3,699",https://images.priceoye.pk/itel-power-450-pakistan-priceoye-59ka7-100x100.webp
90, Infinix Hot 50 Pro Plus,4.8,57.0,"Rs 58,999","Rs 54,500",https://images.priceoye.pk/infinix-hot-50-pro-plus-pakistan-priceoye-5vcg7-100x100.webp
91, Nokia 5310 (2020),4.8,29.0,"Rs 10,399","Rs 9,599",https://images.priceoye.pk/nokia-5310-2020-pakistan-priceoye-pipc4-100x100.webp
92, Faywa Smart Flip,4.7,3.0,"Rs 3,750","Rs 3,049",https://images.priceoye.pk/faywa-smart-flip-pakistan-priceoye-y2fu5-100x100.webp
93, Sego 200S,,,"Rs 2,399","Rs 2,249",https://images.priceoye.pk/sego-200-s-pakistan-priceoye-m7d77-100x100.webp
94, Club mobile A3000 Plus,,,"Rs 3,399","Rs 3,299",https://images.priceoye.pk/vgotel-i-104-pakistan-priceoye-lbhn1-100x100.webp
95, Hello Tech B100,,,"Rs 2,899","Rs 2,649",https://images.priceoye.pk/hello-tech-b100-pakistan-priceoye-g3ux9-100x100.webp
96, VGO TEL i104,5.0,5.0,,"Rs 2,349",https://images.priceoye.pk/vgo-tel-i104-pakistan-priceoye-wsgr4-100x100.webp
97, Spice ipro Ultra,,,,"Rs 3,499",https://images.priceoye.pk/spice-ipro-ultra-pakistan-priceoye-rmlwi-100x100.webp
98, Itel Muzik 400 pro,3.0,2.0,"Rs 4,699","Rs 3,749",https://images.priceoye.pk/itel-muzik-400-pro-pakistan-priceoye-u8ywn-100x100.webp
99, Faywa F222,,,"Rs 3,299","Rs 2,499",https://images.priceoye.pk/faywa-f222-pakistan-priceoye-2keyv-100x100.webp
100, Vivo Y04,4.9,15.0,"Rs 35,999","Rs 32,999",https://images.priceoye.pk/vivo-y04-pakistan-priceoye-tv16x-100x100.webp
101, Xiaomi Redmi A5,4.8,85.0,"Rs 27,999","Rs 23,499",https://images.priceoye.pk/xiaomi-redmi-a5-pakistan-priceoye-4jqr9-100x100.webp
102, Oppo A5 Pro,4.7,24.0,"Rs 54,999","Rs 50,499",https://images.priceoye.pk/oppo-a5-pro-pakistan-priceoye-wmued-100x100.webp
